DeliveryID,RouteID,DriverID,StopSequence,PlannedDateTime,ActualDateTime,Status,LateFlag,DelayReason,DistanceKm,CustomerLat,CustomerLon
L00001,R20250601-01,D002,1,2025-06-01T09:35:00,2025-06-01T09:41:00,Delivered,1,Parking,1.16,43.659592,-79.408499
L00002,R20250601-01,D002,2,2025-06-01T09:44:00,2025-06-01T09:41:00,Delivered,0,None,4.9,43.656502,-79.293021
L00003,R20250601-01,D002,3,2025-06-01T09:52:00,2025-06-01T09:54:00,Delivered,1,BulkOrder,5.08,43.650704,-79.397989
L00004,R20250601-01,D002,4,2025-06-01T09:55:00,2025-06-01T09:53:00,Delivered,0,None,2.73,43.635593,-79.340615
L00005,R20250601-01,D002,5,2025-06-01T10:13:00,2025-06-01T10:27:00,Delivered,1,Traffic,7.35,43.632879,-79.424179
L00006,R20250601-01,D002,6,2025-06-01T10:20:00,2025-06-01T10:30:00,Delivered,1,Weather,1.99,43.611976,-79.331153
L00007,R20250601-01,D002,7,2025-06-01T10:20:00,2025-06-01T10:26:00,Delivered,1,BulkOrder,4.48,43.619925,-79.364627
L00008,R20250601-01,D002,8,2025-06-01T10:36:00,2025-06-01T10:44:00,Delivered,1,Parking,4.72,43.656579,-79.36007
L00009,R20250601-01,D002,9,2025-06-01T10:36:00,2025-06-01T10:51:00,Delivered,1,Parking,2.65,43.621256,-79.405211
L00010,R20250601-01,D002,10,2025-06-01T10:45:00,2025-06-01T10:42:00,Delivered,0,None,0.47,43.636456,-79.37018
L00011,R20250601-01,D002,11,2025-06-01T10:57:00,2025-06-01T11:13:00,Delivered,1,Parking,2.67,43.696099,-79.398504
L00012,R20250601-01,D002,12,2025-06-01T10:59:00,2025-06-01T10:54:00,Delivered,0,None,4.39,43.660321,-79.327961
L00013,R20250601-01,D002,13,2025-06-01T11:09:00,2025-06-01T11:19:00,Delivered,1,BulkOrder,2.94,43.676039,-79.436154
L00014,R20250601-01,D002,14,2025-06-01T11:18:00,2025-06-01T11:18:00,Delivered,0,None,4.38,43.62973,-79.3822
L00015,R20250601-01,D002,15,2025-06-01T11:33:00,2025-06-01T11:37:00,Delivered,1,Traffic,2.74,43.649214,-79.518187
L00016,R20250601-01,D002,16,2025-06-01T11:35:00,2025-06-01T11:34:00,Failed,0,CustomerNotHome,4.22,43.607926,-79.413453
L00017,R20250601-02,D004,1,2025-06-01T09:23:00,2025-06-01T09:29:00,Delivered,1,Weather,1.79,43.636248,-79.315975
