Date,SKU,Warehouse,OnHand,Receipts,Shipments,Demand
2025-05-01,S001,YYZ-DC1,82,0,5,3
2025-05-02,S001,YYZ-DC1,74,0,8,7
2025-05-03,S001,YYZ-DC1,67,0,7,5
2025-05-04,S001,YYZ-DC1,61,0,6,6
2025-05-05,S001,YYZ-DC1,185,131,7,7
2025-05-06,S001,YYZ-DC1,174,0,11,10
2025-05-07,S001,YYZ-DC1,169,0,5,5
2025-05-08,S001,YYZ-DC1,159,0,10,8
2025-05-09,S001,YYZ-DC1,148,0,11,9
2025-05-10,S001,YYZ-DC1,139,0,9,9
2025-05-11,S001,YYZ-DC1,128,0,11,11
2025-05-12,S001,YYZ-DC1,122,0,6,6
2025-05-13,S001,YYZ-DC1,118,0,4,4
2025-05-14,S001,YYZ-DC1,107,0,11,11
2025-05-15,S001,YYZ-DC1,103,0,4,2
2025-05-16,S001,YYZ-DC1,188,95,10,10
2025-05-17,S001,YYZ-DC1,184,0,4,4
2025-05-18,S001,YYZ-DC1,179,0,5,4
2025-05-19,S001,YYZ-DC1,173,0,6,6
2025-05-20,S001,YYZ-DC1,165,0,8,8
2025-05-21,S001,YYZ-DC1,227,70,8,6
2025-05-22,S001,YYZ-DC1,219,0,8,8
2025-05-23,S001,YYZ-DC1,215,0,4,2
2025-05-24,S001,YYZ-DC1,203,0,12,12
2025-05-25,S001,YYZ-DC1,193,0,10,10
2025-05-26,S001,YYZ-DC1,187,0,6,4
2025-05-27,S001,YYZ-DC1,180,0,7,7
2025-05-28,S001,YYZ-DC1,178,0,2,1
2025-05-29,S001,YYZ-DC1,170,0,8,7
2025-05-30,S001,YYZ-DC1,157,0,13,11
2025-05-31,S001,YYZ-DC1,151,0,6,5
2025-06-01,S001,YYZ-DC1,202,54,3,2
2025-06-02,S001,YYZ-DC1,191,0,11,9
2025-06-03,S001,YYZ-DC1,184,0,7,6
2025-06-04,S001,YYZ-DC1,181,0,3,1
2025-06-05,S001,YYZ-DC1,171,0,10,8
2025-06-06,S001,YYZ-DC1,165,0,6,4
2025-06-07,S001,YYZ-DC1,162,0,3,2
2025-06-08,S001,YYZ-DC1,158,0,4,4
2025-06-09,S001,YYZ-DC1,230,81,9,8
2025-06-10,S001,YYZ-DC1,224,0,6,5
2025-06-11,S001,YYZ-DC1,220,0,4,2
2025-06-12,S001,YYZ-DC1,210,0,10,10
2025-06-13,S001,YYZ-DC1,199,0,11,11
2025-06-14,S001,YYZ-DC1,193,0,6,5
2025-06-15,S001,YYZ-DC1,186,0,7,7
2025-06-16,S001,YYZ-DC1,186,0,0,0
2025-06-17,S001,YYZ-DC1,180,0,6,5
2025-06-18,S001,YYZ-DC1,169,0,11,10
2025-06-19,S001,YYZ-DC1,166,0,3,2
2025-06-20,S001,YYZ-DC1,212,57,11,9
2025-06-21,S001,YYZ-DC1,206,0,6,5
2025-06-22,S001,YYZ-DC1,194,0,12,10
2025-06-23,S001,YYZ-DC1,188,0,6,6
2025-06-24,S001,YYZ-DC1,180,0,8,8
2025-06-25,S001,YYZ-DC1,287,115,8,8
2025-06-26,S001,YYZ-DC1,280,0,7,6
2025-06-27,S001,YYZ-DC1,273,0,7,5
2025-06-28,S001,YYZ-DC1,267,0,6,6
2025-06-29,S001,YYZ-DC1,257,0,10,10
2025-05-01,S002,YYZ-DC1,154,0,4,4
2025-05-02,S002,YYZ-DC1,144,0,10,8
2025-05-03,S002,YYZ-DC1,137,0,7,6
2025-05-04,S002,YYZ-DC1,129,0,8,6
2025-05-05,S002,YYZ-DC1,207,83,5,5
2025-05-06,S002,YYZ-DC1,201,0,6,4
2025-05-07,S002,YYZ-DC1,192,0,9,8
2025-05-08,S002,YYZ-DC1,184,0,8,8
2025-05-09,S002,YYZ-DC1,178,0,6,5
2025-05-10,S002,YYZ-DC1,172,0,6,6
2025-05-11,S002,YYZ-DC1,253,83,2,2
2025-05-12,S002,YYZ-DC1,243,0,10,10
2025-05-13,S002,YYZ-DC1,235,0,8,8
2025-05-14,S002,YYZ-DC1,228,0,7,6
2025-05-15,S002,YYZ-DC1,225,0,3,2
2025-05-16,S002,YYZ-DC1,222,0,3,3
2025-05-17,S002,YYZ-DC1,217,0,5,5
2025-05-18,S002,YYZ-DC1,213,0,4,4
2025-05-19,S002,YYZ-DC1,269,63,7,5
2025-05-20,S002,YYZ-DC1,257,0,12,11
2025-05-21,S002,YYZ-DC1,249,0,8,7
2025-05-22,S002,YYZ-DC1,243,0,6,5
2025-05-23,S002,YYZ-DC1,238,0,5,5
2025-05-24,S002,YYZ-DC1,234,0,4,3
2025-05-25,S002,YYZ-DC1,225,0,9,9
2025-05-26,S002,YYZ-DC1,222,0,3,2
2025-05-27,S002,YYZ-DC1,217,0,5,5
2025-05-28,S002,YYZ-DC1,217,0,0,0
2025-05-29,S002,YYZ-DC1,301,91,7,5
2025-05-30,S002,YYZ-DC1,291,0,10,9
2025-05-31,S002,YYZ-DC1,281,0,10,10
2025-06-01,S002,YYZ-DC1,272,0,9,8
2025-06-02,S002,YYZ-DC1,265,0,7,6
2025-06-03,S002,YYZ-DC1,260,0,5,4
2025-06-04,S002,YYZ-DC1,253,0,7,6
2025-06-05,S002,YYZ-DC1,245,0,8,7
2025-06-06,S002,YYZ-DC1,241,0,4,4
2025-06-07,S002,YYZ-DC1,233,0,8,7
2025-06-08,S002,YYZ-DC1,227,0,6,5
2025-06-09,S002,YYZ-DC1,276,51,2,1
2025-06-10,S002,YYZ-DC1,267,0,9,7
2025-06-11,S002,YYZ-DC1,256,0,11,9
2025-06-12,S002,YYZ-DC1,247,0,9,8
2025-06-13,S002,YYZ-DC1,239,0,8,7
2025-06-14,S002,YYZ-DC1,231,0,8,6
2025-06-15,S002,YYZ-DC1,221,0,10,8
2025-06-16,S002,YYZ-DC1,233,21,9,7
2025-06-17,S002,YYZ-DC1,226,0,7,5
2025-06-18,S002,YYZ-DC1,217,0,9,9
2025-06-19,S002,YYZ-DC1,215,0,2,1
2025-06-20,S002,YYZ-DC1,204,0,11,10
2025-06-21,S002,YYZ-DC1,201,0,3,2
2025-06-22,S002,YYZ-DC1,195,0,6,5
2025-06-23,S002,YYZ-DC1,193,0,2,1
2025-06-24,S002,YYZ-DC1,292,106,7,7
2025-06-25,S002,YYZ-DC1,287,0,5,5
2025-06-26,S002,YYZ-DC1,281,0,6,5
2025-06-27,S002,YYZ-DC1,279,0,2,0
2025-06-28,S002,YYZ-DC1,275,0,4,3
2025-06-29,S002,YYZ-DC1,272,0,3,2
2025-05-01,S003,YYZ-DC1,170,0,6,5
2025-05-02,S003,YYZ-DC1,163,0,7,6
2025-05-03,S003,YYZ-DC1,156,0,7,7
2025-05-04,S003,YYZ-DC1,151,0,5,4
2025-05-05,S003,YYZ-DC1,146,0,5,5
2025-05-06,S003,YYZ-DC1,144,0,2,0
2025-05-07,S003,YYZ-DC1,247,111,8,7
2025-05-08,S003,YYZ-DC1,236,0,11,9
2025-05-09,S003,YYZ-DC1,234,0,2,2
2025-05-10,S003,YYZ-DC1,232,0,2,2
2025-05-11,S003,YYZ-DC1,228,0,4,3
2025-05-12,S003,YYZ-DC1,218,0,10,10
2025-05-13,S003,YYZ-DC1,294,78,2,2
2025-05-14,S003,YYZ-DC1,294,0,0,0
2025-05-15,S003,YYZ-DC1,293,0,1,1
2025-05-16,S003,YYZ-DC1,292,0,1,0
2025-05-17,S003,YYZ-DC1,288,0,4,4
2025-05-18,S003,YYZ-DC1,281,0,7,7
2025-05-19,S003,YYZ-DC1,275,0,6,5
2025-05-20,S003,YYZ-DC1,265,0,10,8
2025-05-21,S003,YYZ-DC1,258,0,7,6
2025-05-22,S003,YYZ-DC1,250,0,8,6
2025-05-23,S003,YYZ-DC1,241,0,9,7
2025-05-24,S003,YYZ-DC1,343,110,8,8
2025-05-25,S003,YYZ-DC1,338,0,5,4
2025-05-26,S003,YYZ-DC1,333,0,5,5
2025-05-27,S003,YYZ-DC1,330,0,3,2
2025-05-28,S003,YYZ-DC1,321,0,9,8
2025-05-29,S003,YYZ-DC1,316,0,5,5
2025-05-30,S003,YYZ-DC1,309,0,7,6
2025-05-31,S003,YYZ-DC1,299,0,10,8
2025-06-01,S003,YYZ-DC1,292,0,7,5
2025-06-02,S003,YYZ-DC1,285,0,7,5
2025-06-03,S003,YYZ-DC1,280,0,5,4
2025-06-04,S003,YYZ-DC1,357,78,1,0
2025-06-05,S003,YYZ-DC1,345,0,12,11
2025-06-06,S003,YYZ-DC1,337,0,8,7
2025-06-07,S003,YYZ-DC1,331,0,6,5
2025-06-08,S003,YYZ-DC1,321,0,10,9
2025-06-09,S003,YYZ-DC1,366,52,7,5
2025-06-10,S003,YYZ-DC1,353,0,13,13
2025-06-11,S003,YYZ-DC1,348,0,5,3
2025-06-12,S003,YYZ-DC1,343,0,5,5
2025-06-13,S003,YYZ-DC1,337,0,6,5
2025-06-14,S003,YYZ-DC1,333,0,4,4
2025-06-15,S003,YYZ-DC1,325,0,8,7
2025-06-16,S003,YYZ-DC1,367,46,4,4
2025-06-17,S003,YYZ-DC1,361,0,6,5
2025-06-18,S003,YYZ-DC1,354,0,7,5
2025-06-19,S003,YYZ-DC1,345,0,9,8
2025-06-20,S003,YYZ-DC1,335,0,10,8
2025-06-21,S003,YYZ-DC1,328,0,7,5
2025-06-22,S003,YYZ-DC1,324,0,4,4
2025-06-23,S003,YYZ-DC1,319,0,5,4
2025-06-24,S003,YYZ-DC1,312,0,7,6
2025-06-25,S003,YYZ-DC1,306,0,6,6
2025-06-26,S003,YYZ-DC1,403,100,3,3
2025-06-27,S003,YYZ-DC1,399,0,4,3
2025-06-28,S003,YYZ-DC1,396,0,3,2
2025-06-29,S003,YYZ-DC1,386,0,10,10
2025-05-01,S004,YYZ-DC1,99,0,6,5
2025-05-02,S004,YYZ-DC1,97,0,2,0
2025-05-03,S004,YYZ-DC1,84,0,13,11
2025-05-04,S004,YYZ-DC1,83,0,1,0
2025-05-05,S004,YYZ-DC1,76,0,7,5
2025-05-06,S004,YYZ-DC1,69,0,7,5
2025-05-07,S004,YYZ-DC1,65,0,4,4
2025-05-08,S004,YYZ-DC1,117,57,5,5
2025-05-09,S004,YYZ-DC1,109,0,8,7
2025-05-10,S004,YYZ-DC1,106,0,3,1
2025-05-11,S004,YYZ-DC1,95,0,11,11
2025-05-12,S004,YYZ-DC1,89,0,6,5
2025-05-13,S004,YYZ-DC1,84,0,5,4
2025-05-14,S004,YYZ-DC1,73,0,11,11
2025-05-15,S004,YYZ-DC1,64,0,9,7
2025-05-16,S004,YYZ-DC1,62,0,2,1
2025-05-17,S004,YYZ-DC1,58,0,4,4
2025-05-18,S004,YYZ-DC1,58,0,0,0
2025-05-19,S004,YYZ-DC1,167,117,8,8
2025-05-20,S004,YYZ-DC1,162,0,5,5
2025-05-21,S004,YYZ-DC1,154,0,8,7
2025-05-22,S004,YYZ-DC1,147,0,7,7
2025-05-23,S004,YYZ-DC1,143,0,4,4
2025-05-24,S004,YYZ-DC1,137,0,6,5
2025-05-25,S004,YYZ-DC1,235,103,5,4
2025-05-26,S004,YYZ-DC1,222,0,13,11
2025-05-27,S004,YYZ-DC1,220,0,2,2
2025-05-28,S004,YYZ-DC1,217,0,3,2
2025-05-29,S004,YYZ-DC1,210,0,7,5
2025-05-30,S004,YYZ-DC1,206,0,4,4
2025-05-31,S004,YYZ-DC1,196,0,10,8
2025-06-01,S004,YYZ-DC1,187,0,9,9
2025-06-02,S004,YYZ-DC1,242,60,5,4
2025-06-03,S004,YYZ-DC1,238,0,4,2
2025-06-04,S004,YYZ-DC1,232,0,6,4
2025-06-05,S004,YYZ-DC1,232,0,0,0
2025-06-06,S004,YYZ-DC1,227,0,5,5
2025-06-07,S004,YYZ-DC1,217,0,10,9
2025-06-08,S004,YYZ-DC1,211,0,6,4
2025-06-09,S004,YYZ-DC1,204,0,7,7
2025-06-10,S004,YYZ-DC1,202,0,2,0
2025-06-11,S004,YYZ-DC1,195,0,7,5
2025-06-12,S004,YYZ-DC1,285,102,12,11
2025-06-13,S004,YYZ-DC1,279,0,6,5
2025-06-14,S004,YYZ-DC1,278,0,1,1
2025-06-15,S004,YYZ-DC1,269,0,9,8
2025-06-16,S004,YYZ-DC1,256,0,13,11
2025-06-17,S004,YYZ-DC1,250,0,6,4
2025-06-18,S004,YYZ-DC1,247,0,3,2
2025-06-19,S004,YYZ-DC1,235,0,12,10
2025-06-20,S004,YYZ-DC1,231,0,4,3
2025-06-21,S004,YYZ-DC1,222,0,9,7
2025-06-22,S004,YYZ-DC1,312,96,6,6
2025-06-23,S004,YYZ-DC1,306,0,6,4
2025-06-24,S004,YYZ-DC1,297,0,9,8
2025-06-25,S004,YYZ-DC1,293,0,4,3
2025-06-26,S004,YYZ-DC1,285,0,8,7
2025-06-27,S004,YYZ-DC1,278,0,7,7
2025-06-28,S004,YYZ-DC1,274,0,4,4
2025-06-29,S004,YYZ-DC1,261,0,13,11
2025-05-01,S005,YYZ-DC1,104,0,8,8
2025-05-02,S005,YYZ-DC1,97,0,7,5
2025-05-03,S005,YYZ-DC1,87,0,10,10
2025-05-04,S005,YYZ-DC1,81,0,6,4
2025-05-05,S005,YYZ-DC1,68,0,13,11
2025-05-06,S005,YYZ-DC1,57,0,11,11
2025-05-07,S005,YYZ-DC1,55,0,2,1
2025-05-08,S005,YYZ-DC1,42,0,13,12
2025-05-09,S005,YYZ-DC1,34,0,8,6
2025-05-10,S005,YYZ-DC1,137,107,4,2
2025-05-11,S005,YYZ-DC1,130,0,7,5
2025-05-12,S005,YYZ-DC1,119,0,11,10
2025-05-13,S005,YYZ-DC1,108,0,11,9
2025-05-14,S005,YYZ-DC1,105,0,3,2
2025-05-15,S005,YYZ-DC1,95,0,10,10
2025-05-16,S005,YYZ-DC1,93,0,2,2
2025-05-17,S005,YYZ-DC1,93,0,0,0
2025-05-18,S005,YYZ-DC1,90,0,3,1
